"time", "mood", "circumplex.arousal", "circumplex.valence", "activity", "screen", "call", "sms", "appCat.builtin", "appCat.communication", "appCat.entertainment", "appCat.office", "appCat.other", "appCat.social", "appCat.travel", "appCat.unknown", "appCat.utilities", "day_0", "day_1", "day_2", "day_3", "day_4", "day_5", "day_6"
2014-03-31, 6.5, -0.25, 0.4, 0.0241511666299802, 5611.31099867821, 6, 3, 2455.164, 279.645, 543.003, 0, 121.644, 2073.498, 245.895, 96.333, 18.531, 1, 0, 0, 0, 0, 0, 0
2014-04-01, 7.5, -0.2, 1, 0.126609979933453, 25799.2319977284, 6, 24, 11261.433, 9083.757, 34.023, 0, 331.149, 6345.165, 1050.675, 90.162, 30.099, 0, 1, 0, 0, 0, 0, 0
2014-04-02, 6.8, -0.2, 0.4, 0.0432156771266439, 35662.1100025177, 6, 3, 6956.055, 8172.18600000001, 2652.519, 0, 314.811, 10865.064, 480.402, 27.105, 1742.244, 0, 0, 1, 0, 0, 0, 0
2014-04-03, 8, -0.5, 1.25, 0.151113051366262, 27496.2030043602, 6, 24, 20022.36, 8628.60300000001, 3010.941, 0, 250.248, 7022.361, 460.395, 72.675, 3912.342, 0, 0, 0, 1, 0, 0, 0
2014-04-04, 5.75, -0.5, 0.2, 0.12490594575685, 41281.0980041027, 9, 3, 10423.116, 17027.013, 1487.004, 0, 319.032, 8222.433, 708.879, 33.132, 491.772, 0, 0, 0, 0, 1, 0, 0
2014-04-05, 7.6, -0.8, 0.8, 0.0278597907389609, 23791.3709943295, 3, 3, 6224.277, 4420.596, 1243.158, 0, 266.907, 6433.812, 546.375, 25.065, 1635.42, 0, 0, 0, 0, 0, 1, 0
2014-04-06, 7.2, -0.6, 0.6, 0.0122530367142436, 17825.8889987469, 3, 3, 2659.494, 3093.423, 1002.444, 0, 151.485, 8386.476, 507.435, 63.264, 3486.246, 0, 0, 0, 0, 0, 0, 1
2014-04-07, 8, 0.2, 1.25, 0.111666978996758, 34393.2900037766, 3, 3, 33513.6030000001, 8187.924, 3245.841, 0, 195.006, 10902.645, 915.408, 130.731, 1742.244, 1, 0, 0, 0, 0, 0, 0
2014-04-08, 7.8, -0.2, 1, 0.0988504197495674, 22099.1550092697, 3, 3, 17229.717, 9603.89700000001, 836.895, 0, 172.17, 5928.036, 362.847, 57.309, 5400.354, 0, 1, 0, 0, 0, 0, 0
2014-04-09, 7, -1, 1, 0.243846870591234, 36755.1779959202, 6, 3, 7968.993, 6443.232, 692.244, 0, 642.519, 5002.707, 557.43, 25.065, 18.303, 0, 0, 1, 0, 0, 0, 0
2014-04-10, 7, -1, 0.5, 0.223848427470912, 24522.1649951935, 3, 24, 11308.533, 7797.024, 2704.755, 0, 206.748, 4438.854, 2077.239, 101.028, 9.036, 0, 0, 0, 1, 0, 0, 0
2014-04-11, 7.4, -0.6, 1, 0.33323058134917, 75872.2409963607, 30, 24, 11045.733, 16174.662, 409.908, 0, 366.777, 4808.535, 4323.591, 90.162, 38.772, 0, 0, 0, 0, 1, 0, 0
2014-04-12, 7.8, -0.75, 1.25, 0.0371925559830255, 34450.1160027981, 9, 3, 9003.132, 9298.443, 1413.012, 0, 219.096, 9921.006, 85.305, 151.161, 2881.311, 0, 0, 0, 0, 0, 1, 0
2014-04-13, 7.2, -0.6, 0.75, 0.0424249773952519, 29275.9680047035, 6, 3, 5423.628, 11350.788, 774.813, 0, 149.664, 7495.071, 481.188, 90.162, 460.587, 0, 0, 0, 0, 0, 0, 1
2014-04-14, 6.8, -1, 0.5, 0.106119599937788, 32644.9530050754, 6, 3, 15720.366, 15279.936, 114.591, 0, 175.914, 5755.017, 21.81, 113.49, 983.577, 1, 0, 0, 0, 0, 0, 0
2014-04-15, 6.8, -0.2, 0.4, 0.117258574965426, 29545.8150007725, 6, 3, 10190.361, 9306.56700000001, 426.411, 0, 312.942, 9468.876, 387.54, 64.896, 6.291, 0, 1, 0, 0, 0, 0, 0
2014-04-16, 6.2, 0.6, -0.4, 0.0358923264784062, 30498.716997385, 3, 3, 11193.456, 9639.399, 4366.26, 0, 165.654, 10747.572, 90.498, 151.161, 3143.778, 0, 0, 1, 0, 0, 0, 0
2014-04-17, 7.8, -0.5, 0.75, 0.107937415254637, 28472.6819972992, 6, 3, 7000.713, 6337.06200000001, 2069.28, 0, 189.024, 9895.698, 915.408, 64.896, 5400.354, 0, 0, 0, 1, 0, 0, 0
2014-04-18, 5.8, -0.2, 0.5, 0.034751079750808, 31496.1239933968, 6, 24, 7602.072, 7230.759, 701.421, 0, 154.458, 4778.667, 429.948, 27.105, 3912.342, 0, 0, 0, 0, 1, 0, 0
2014-04-19, 6.75, -0.5, 0.333333333333333, 0.0205451144127611, 18705.6389987469, 3, 3, 2928.165, 2449.641, 852.132, 0, 146.253, 6059.607, 607.263, 54.24, 3486.246, 0, 0, 0, 0, 0, 1, 0
2014-04-20, 7.8, -0.4, 1, 0.0312838073964031, 16591.10100317, 6, 3, 2465.241, 516.312, 836.895, 0, 139.461, 5955.87, 546.375, 48.291, 2345.61, 0, 0, 0, 0, 0, 0, 1
2014-04-21, 8, -0.25, 1, 0.0756566698296156, 14494.9380018711, 3, 24, 3201.669, 3496.443, 172.173, 0, 139.296, 4087.938, 514.749, 130.731, 769.464, 1, 0, 0, 0, 0, 0, 0
2014-04-22, 7.25, -0.75, 1, 0.15725290411543, 47139.1529967785, 3, 3, 23977.3290000001, 8295.666, 4742.379, 0, 139.437, 6802.041, 557.43, 63.264, 61.011, 0, 1, 0, 0, 0, 0, 0
2014-04-23, 7, 0.333333333333333, 1, 0.0951148533806444, 27932.5709996223, 6, 3, 13773.585, 9148.746, 426.411, 0, 150.012, 7153.79699999999, 507.435, 48.291, 769.464, 0, 0, 1, 0, 0, 0, 0
2014-04-24, 8, -0.2, 1.2, 0.11913178112779, 33929.6880025864, 3, 24, 9266.54999999998, 10737.618, 1252.728, 0, 157.488, 8702.388, 546.375, 25.065, 5400.354, 0, 0, 0, 1, 0, 0, 0
2014-04-25, 7, -0.2, 1, 0.130384957535608, 13272.1649987698, 3, 3, 9256.17299999999, 2591.967, 102.738, 0, 174.732, 4998.96599999999, 268.641, 96.333, 30.099, 0, 0, 0, 0, 1, 0, 0
2014-04-26, 8, -0.75, 1, 0.0330103700922375, 12343.3469996452, 6, 3, 2338.005, 1676.94, 233.721, 69.792, 168.276, 5501.037, 387.54, 120.717, 769.464, 0, 0, 0, 0, 0, 1, 0
2014-04-27, 7.25, 0.25, 0.5, 0.0531420002146689, 41983.2599995136, 3, 3, 2898.894, 4747.15800000001, 1676.853, 0, 169.104, 5056.254, 546.375, 72.675, 710.634, 0, 0, 0, 0, 0, 0, 1
