date_minus_time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-17,,,,,,3.0,2.0,,,,,,,,,,,,
2014-02-18,,,,,,0.0,1.0,,,,,,,,,,,,
2014-02-19,,,,,,1.0,1.0,,,,,,,,,,,,
2014-02-20,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-21,,,,,,0.0,2.0,,,,,,,,,,,,
2014-02-22,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-23,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-24,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-25,,,,,,0.0,1.0,,,,,,,,,,,,
2014-02-26,,,,,,0.0,1.0,,,,,,,,,,,,
2014-02-27,,,,,,2.0,0.0,,,,,,,,,,,,
2014-02-28,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-01,,,,,,6.0,0.0,,,,,,,,,,,,
2014-03-02,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-03,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-04,,,,,,2.0,4.0,,,,,,,,,,,,
2014-03-05,,,,,,3.0,1.0,,,,,,,,,,,,
2014-03-06,,,,,,0.0,3.0,,,,,,,,,,,,
2014-03-07,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-08,,,,,,3.0,0.0,,,,,,,,,,,,
2014-03-09,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-10,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-11,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-12,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-13,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-14,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-15,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-16,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-17,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-18,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-19,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-20,7.0,-1.0,1.0,,369.4009997844696,0.0,0.0,211.45499999999998,6.086,43.303000000000004,,63.294000000000004,,,47.556999999999995,,545.854,,
2014-03-21,7.0,0.25,0.25,,30.0939998626709,0.0,0.0,30.088,0.0,0.0,,0.0,,,0.0,,0.0,,
2014-03-22,7.5,1.0,0.5,0.007716049382716043,1565.3150002956395,0.0,0.0,29.871000000000002,402.93500000000006,0.0,,0.0,,58.238,3.013,,1071.0950000000003,,
2014-03-23,7.6,0.8,0.8,0.043209876543209874,691.3710000514974,0.0,1.0,46.412000000000006,657.611,48.255,,0.0,,65.792,0.0,,22.147,,
2014-03-24,6.8,-0.2,0.4,0.03333333333333333,2392.9479994773897,0.0,1.0,115.90799999999999,766.497,162.989,,445.80400000000003,,14.054,228.28199999999998,,954.654,,
2014-03-25,6.0,-0.75,-0.5,0.0789351851851852,2657.9410002231607,0.0,0.0,872.5179999999999,242.46599999999995,261.954,,347.38599999999997,,130.525,523.0870000000001,,222.01500000000001,88.629,
2014-03-26,6.8,0.4,0.4,0.025762156714537646,748.3169999122622,0.0,0.0,256.878,80.78200000000001,370.681,,0.0,,72.931,347.365,,0.0,,
2014-03-27,7.0,0.25,0.75,0.05700000000000001,1263.7210004329686,0.0,0.0,228.71000000000004,115.054,44.37200000000001,,624.721,,0.0,250.67600000000002,,0.0,,
2014-03-28,6.25,0.5,0.0,0.02380952380952381,460.55199980735813,0.0,0.0,408.747,133.349,0.0,,0.0,,8.027000000000001,0.0,,0.0,,
2014-03-29,7.4,1.0,1.0,0.13813915857605177,760.8439998626707,4.0,0.0,122.243,21.130000000000003,0.0,,494.903,,122.48200000000001,0.0,,0.0,,
2014-03-30,7.5,1.0,1.0,0.3802083333333333,834.6750004291537,0.0,2.0,22.232000000000003,444.131,0.0,,0.0,,0.0,327.46200000000005,,821.1010000000001,,
2014-03-31,7.0,0.8,0.8,0.0125,20.713999748229973,1.0,3.0,0.0,20.709000000000003,0.0,,0.0,,0.0,0.0,,0.0,,
2014-04-01,6.25,0.0,0.0,0.0,29.631999969482397,0.0,4.0,38.339999999999996,0.0,0.0,,953.245,,0.0,0.0,,0.0,,
2014-04-02,6.5,0.0,0.25,0.06712962962962966,2276.728000640871,0.0,0.0,510.74299999999994,715.668,148.782,,0.0,,18.118,789.297,93.434,0.0,,
2014-04-03,6.666666666666667,0.3333333333333333,0.3333333333333333,0.055022974101921494,54.6529998779297,1.0,0.0,43.257999999999996,0.0,0.0,,0.0,,11.387,0.0,,0.0,,
2014-04-04,7.0,0.75,0.5,0.01574074074074075,2065.8469989299774,0.0,0.0,275.829,761.8199999999999,0.0,75.399,546.803,,41.504000000000005,364.033,,0.0,,
2014-04-05,7.0,0.4,0.8,0.09056023599628253,807.5760002136229,2.0,0.0,108.75400000000002,94.521,27.475,0.0,422.587,,153.896,0.0,,0.0,,
2014-04-06,7.0,0.6,0.8,0.06022714082246478,3924.269999504089,3.0,1.0,231.018,852.7769999999998,14.083,0.0,418.192,,0.0,437.39,,0.0,,
2014-04-07,6.8,0.6,1.0,0.029011707988980725,290.2020001411439,0.0,1.0,73.93500000000002,882.9119999999999,77.365,0.0,530.69,,0.0,574.76,,0.0,,
2014-04-08,7.25,0.5,0.75,0.003367003367003367,601.9649999141694,0.0,2.0,66.224,0.0,0.0,0.0,531.717,,0.0,4.024,,0.0,,
2014-04-09,7.75,0.25,1.0,0.069361289395536,1532.6959998607638,0.0,4.0,241.88299999999998,263.23,248.85100000000003,0.0,0.0,,44.223,1007.6129999999999,,0.0,,
2014-04-10,7.0,0.5,0.5,0.021836419753086426,1213.4069998264322,0.0,1.0,86.77100000000002,661.8989999999999,123.988,0.0,0.0,,10.035,330.513,,0.0,,
2014-04-11,7.5,0.5,0.75,0.055092592592592575,169.18499994277954,2.0,0.0,55.402,72.345,0.0,0.0,0.0,,41.273,0.0,,0.0,,
2014-04-12,6.8,0.0,0.6,0.04598055910316445,3952.1050000190753,6.0,1.0,326.646,2408.115000000001,0.0,49.692,404.37600000000003,,81.629,105.212,,0.0,,
2014-04-13,6.8,0.0,0.6,0.0,5.01699995994568,0.0,0.0,12.451,0.0,0.0,,569.675,,0.0,0.0,,0.0,,
2014-04-14,6.8,0.0,0.2,0.005,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
2014-04-15,6.8,0.0,0.6,0.10694444444444447,699.7319998741152,0.0,0.0,104.234,421.38200000000006,24.136999999999997,,0.0,,14.144,135.541,,0.0,,
2014-04-16,7.2,0.4,0.6,0.004629629629629634,11.298000097274778,0.0,1.0,0.0,0.0,0.0,,0.0,,11.276,0.0,,0.0,,
2014-04-17,6.4,-0.4,0.4,0.01458001063264221,1704.4969999790194,0.0,1.0,306.67100000000005,476.179,65.554,,496.895,,0.0,319.817,,39.18,,
2014-04-18,6.75,0.0,0.5,0.006430041152263367,93.54699969291684,0.0,0.0,78.833,0.0,0.0,,0.0,,0.0,14.633,,0.0,,
2014-04-19,7.5,0.0,1.0,0.0362707535121329,2848.953001022339,0.0,0.0,73.705,2344.3070000000007,0.0,,196.45,,0.0,35.379,,3.01,,
2014-04-20,7.6,-0.4,0.6,0.17375,758.6270000934601,1.0,0.0,308.396,282.616,0.0,,0.0,,185.42799999999997,13.353000000000002,,0.0,,
2014-04-21,7.4,0.2,0.8,0.06042250233426701,719.6380009651184,0.0,1.0,168.567,341.4270000000001,14.783,,0.0,,14.048,1074.261,,0.0,,
2014-04-22,6.4,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
2014-04-23,7.0,-0.3333333333333333,0.3333333333333333,0.054166666666666724,317.956999540329,0.0,1.0,8.155999999999999,202.35799999999998,12.065,,0.0,,12.05,83.15,,0.0,,
2014-04-24,7.0,-0.2,0.4,0.03690196078431372,1478.5470013618472,1.0,0.0,542.866,484.74500000000006,16.070999999999998,,0.0,,378.066,82.87499999999999,,0.0,,
2014-04-25,7.0,0.5,0.25,0.04379330553481038,707.317000389099,2.0,0.0,192.42400000000004,488.702,21.807,,0.0,,46.597,60.263000000000005,,0.0,,
2014-04-26,7.0,0.5,0.75,0.046111111111111096,1290.6129994392386,,1.0,113.57999999999998,594.0090000000001,122.57600000000001,,0.0,,0.0,460.113,,0.0,,
2014-04-27,6.8,0.0,0.0,0.017892857142857144,1501.0290005207066,,,132.168,337.6390000000001,0.0,,0.0,,38.161,932.7299999999999,,59.635,,
2014-04-28,6.8,0.0,0.2,0.05668667466986795,2972.6559991836543,,,249.593,1130.8650000000002,200.39500000000004,,561.007,,46.019999999999996,399.017,,,,
2014-04-29,7.25,0.25,0.75,0.0034722222222222337,419.5039999485019,,,163.942,105.477,18.070999999999998,,,,,131.852,,,,
2014-04-30,7.0,0.2,0.6,,,,,,,,,,,,,,,,
2014-05-01,7.0,0.2,0.4,,,,,,,,,,,,,,,,
2014-05-02,7.2,0.2,0.2,,,,,,,,,,,,,,,,
2014-05-03,6.75,0.0,0.5,,,,,,,,,,,,,,,,
2014-05-04,7.333333333333333,0.0,0.6666666666666666,,,,,,,,,,,,,,,,
2014-05-05,7.0,0.0,0.0,,,,,,,,,,,,,,,,
