time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-17,,,,,,2.0,,,,,,,,,,,,,
2014-02-18,,,,,,1.0,,,,,,,,,,,,,
2014-02-19,,,,,,7.0,2.0,,,,,,,,,,,,
2014-02-20,,,,,,2.0,3.0,,,,,,,,,,,,
2014-02-21,,,,,,0.0,1.0,,,,,,,,,,,,
2014-02-22,,,,,,2.0,1.0,,,,,,,,,,,,
2014-02-23,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-24,,,,,,0.0,0.0,,,,,,,,,,,,
2014-02-25,,,,,,3.0,0.0,,,,,,,,,,,,
2014-02-26,6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,
2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,
2014-02-28,,,,,,4.0,0.0,,,,,,,,,,,,
2014-03-01,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-02,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-03,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-04,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-05,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-06,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-07,,,,,,5.0,0.0,,,,,,,,,,,,
2014-03-08,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-09,,,,,,0.0,0.0,,,,,,,,,,,,
2014-03-10,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-11,,,,,,3.0,0.0,,,,,,,,,,,,
2014-03-12,,,,,,7.0,1.0,,,,,,,,,,,,
2014-03-13,,,,,,4.0,0.0,,,,,,,,,,,,
2014-03-14,,,,,,3.0,1.0,,,,,,,,,,,,
2014-03-15,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-16,,,,,,0.0,3.0,,,,,,,,,,,,
2014-03-17,,,,,,0.0,1.0,,,,,,,,,,,,
2014-03-18,,,,,,1.0,2.0,,,,,,,,,,,,
2014-03-19,,,,,,1.0,0.0,,,,,,,,,,,,
2014-03-20,,,,0.08154761904761905,2275.9440002441406,1.0,0.0,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.073999999999998,
2014-03-21,6.2,0.2,0.2,0.13405010398938863,17978.90700006484,6.0,0.0,3139.2180000000008,6280.890000000003,1007.456,49.544000000000004,,172.20600000000002,239.75100000000003,4508.500000000001,915.4450000000002,0.0,598.7539999999999,
2014-03-22,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,3.0,1.0,731.4290000000001,4962.9180000000015,93.324,21.076,,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,
2014-03-23,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,0.0,0.0,1286.246,5237.318999999999,94.346,43.403000000000006,,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386
2014-03-24,6.0,0.8,0.0,0.07896105611559798,15047.351000547404,10.0,0.0,866.9559999999996,9270.628999999999,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.805,0.0,178.732,
2014-03-25,6.75,0.5,0.5,0.09837411239050675,21475.354999065392,0.0,1.0,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,,0.0,178.81900000000002,1919.4709999999998,0.0,235.223,222.893,
2014-03-26,6.6,-0.2,0.6,0.10130832167007593,16423.801000356674,0.0,0.0,1167.4969999999996,8988.753,910.4789999999999,52.331,,0.0,97.498,4592.058999999999,0.0,0.0,33.365,
2014-03-27,7.0,0.2,0.8,0.1595106409690975,17442.14999938011,2.0,1.0,1229.3269999999998,6936.512000000001,639.3389999999999,42.218999999999994,,182.451,58.532,935.3810000000002,47.314,0.0,179.02899999999997,
2014-03-28,6.4,-0.6,0.6,0.09569802163712016,4923.48899960518,5.0,0.0,10062.595000000003,866.8329999999999,1005.403,89.166,233.03599999999997,0.0,225.951,512.741,1133.0089999999998,0.0,301.717,
2014-03-29,8.0,0.2,1.0,0.06820281010186964,8322.621999740602,4.0,1.0,1952.6299999999999,2720.6919999999996,1627.4289999999996,0.0,0.0,0.0,169.59399999999997,472.88800000000003,52.435,0.0,600.6370000000001,
2014-03-30,7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,0.0,0.0,414.365,1298.505,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,
2014-03-31,7.4,0.0,0.6,0.07050548088338955,11836.83400034904,6.0,0.0,2961.4050000000007,5332.637,1758.92,41.255,51.176,0.0,268.554,1350.6549999999997,183.38100000000003,29.29,210.30500000000004,
2014-04-01,6.0,0.2,0.0,0.11844324271273599,17173.906002044678,1.0,0.0,1385.5170000000003,6095.526000000001,1030.637,547.826,234.741,92.388,121.19000000000001,5040.067000000002,1614.621,0.0,517.636,
2014-04-02,6.5,0.3333333333333333,0.6666666666666666,0.10191661063822345,21358.510999917988,4.0,0.0,3614.349,6920.155999999998,1343.3759999999997,247.777,0.0,90.48100000000001,541.541,3428.7920000000004,0.0,0.0,341.371,
2014-04-03,6.4,-1.2,0.0,0.04923847270844107,21401.835000753403,4.0,0.0,2321.4640000000018,14438.081999999997,1293.631,76.234,0.0,0.0,213.90199999999996,3154.241000000001,19.082,0.0,182.772,
2014-04-04,6.2,0.2,0.4,0.12668931120732582,12379.411000013357,2.0,1.0,1957.829,5481.628,1545.227,0.0,0.0,0.0,176.80100000000002,2086.197,158.24099999999999,0.0,128.692,
2014-04-05,6.8,-0.4,0.6,0.11900230220344549,3340.4309999942784,0.0,0.0,15159.189999999993,1885.4089999999999,76.369,0.0,0.0,0.0,81.133,363.208,187.94500000000002,0.0,118.956,
2014-04-06,6.5,-0.75,0.5,0.06440779944246812,7467.321999788283,4.0,0.0,4548.662,3355.7430000000013,187.214,0.0,114.406,0.0,119.12,321.4599999999999,0.0,0.0,46.249,
2014-04-07,6.5,-0.6666666666666666,0.25,0.05067062117431789,9846.380999803541,1.0,0.0,927.3769999999997,7355.015000000001,447.121,46.128,0.0,17.107,170.34799999999998,1475.418,60.247,0.0,205.81100000000004,
2014-04-08,6.6,-0.4,0.3333333333333333,0.07532705826134849,15101.13200187683,1.0,0.0,892.6889999999997,9477.553,3466.4789999999994,19.131,0.0,0.0,209.51399999999995,2655.121,0.0,0.0,36.143,
2014-04-09,7.4,-0.8,1.0,0.12038411453232874,13558.289000988008,4.0,0.0,1638.6170000000004,6177.075999999998,940.7699999999999,0.0,0.0,0.0,346.654,2826.3500000000004,0.0,0.0,577.359,
2014-04-10,7.4,-0.4,0.8,0.07896310519489107,9296.098999261858,7.0,0.0,715.3549999999998,4881.411,1858.8930000000005,0.0,1.0590000000000002,23.195,107.91900000000001,1174.7170000000003,0.0,0.0,377.68699999999995,
2014-04-11,7.0,-1.2,0.8,0.07998620207306051,10526.846000194553,0.0,0.0,3369.0309999999995,3336.592000000002,1976.1380000000001,94.093,0.0,0.0,51.45200000000001,596.807,34.234,0.0,214.648,
2014-04-12,7.25,-0.75,0.75,0.07224906147031818,11750.809000968928,0.0,0.0,302.44599999999986,6595.082999999998,2186.482,0.0,0.0,0.0,79.033,264.432,5.031000000000001,0.0,352.39199999999994,
2014-04-13,8.0,-1.25,1.0,0.014021328954370723,2005.7509992122657,0.0,0.0,447.41499999999996,1096.7949999999998,249.392,82.413,0.0,0.0,94.20899999999999,34.502,0.0,0.0,0.0,
2014-04-14,7.2,-1.2,0.6,0.08388731446988419,17985.447999238968,1.0,1.0,961.5809999999999,6486.2840000000015,6265.556,89.32300000000001,0.0,0.0,145.09600000000003,2921.985,29.104000000000003,0.0,986.014,
2014-04-15,6.4,0.0,0.8,0.09011215278072525,13585.222998380666,8.0,1.0,1596.3559999999995,6224.230999999999,944.5219999999999,13.043,0.0,0.0,110.415,4428.210000000001,8.363,0.0,279.79299999999995,
2014-04-16,7.2,0.75,0.5,0.11611033612712218,12522.47499895096,0.0,1.0,923.613,5175.016,426.73400000000004,0.0,0.0,0.0,40.78399999999999,1912.8520000000003,0.0,0.0,223.587,
